"AppName","Version","Publisher","Type"
"Microsoft.HEVCVideoExtension","2.4.43.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.LockApp","10.0.19041.4239","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.Messaging","4.1901.60404.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.Microsoft3DViewer","7.2602.8012.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.MicrosoftEdge.Stable","140.0.3485.54","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.MicrosoftEdgeDevToolsClient","1000.19041.4239.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.MicrosoftOfficeHub","19.2604.36171.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.MicrosoftSolitaireCollection","4.25.3102.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.MicrosoftStickyNotes","6.1.4.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.MixedReality.Portal","2000.21051.1282.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.MPEG2VideoExtension","1.2.13.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.MSPaint","6.2410.13017.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.NET.Native.Framework.1.7","1.7.27413.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.NET.Native.Framework.1.7","1.7.27413.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.NET.Native.Framework.2.2","2.2.29512.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.NET.Native.Framework.2.2","2.2.29512.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.NET.Native.Runtime.1.7","1.7.27422.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.NET.Native.Runtime.1.7","1.7.27422.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.NET.Native.Runtime.2.2","2.2.28604.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.NET.Native.Runtime.2.2","2.2.28604.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.Office.Desktop","16051.19127.20570.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.Office.OneNote","16001.14326.22594.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.OneConnect","5.2508.25002.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.OutlookForWindows","1.2026.120.300","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.People","10.2202.100.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.Print3D","3.3.791.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.RemoteDesktop","10.2.4012.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.ScreenSketch","10.2008.3001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.Services.Store.Engagement","10.0.23012.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.Services.Store.Engagement","10.0.23012.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.StorePurchaseApp","22601.1401.7.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.UI.Xaml.2.0","2.1810.18004.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.UI.Xaml.2.0","2.1810.18004.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.UI.Xaml.2.3","2.32002.13001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.UI.Xaml.2.3","2.32002.13001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.UI.Xaml.2.4","2.42007.9001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Microsoft.UI.Xaml.2.4","2.42007.9001.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
